state,next_election_year,type,count
KS,2019,Utility,27
NV,2020,Utility,18
VA,2019,Land,111
MI,2019,Utility,2
AK,2020,Land,3
NE,2020,Utility,1
UT,2019,Utility,10
WI,2020,Utility,6
MS,2020,Land,13
MN,2020,Utility,2
GA,2020,Utility,1
FL,2020,Land,114
AZ,2020,Land,3
WY,2019,Utility,14
WA,2020,Utility,31
CA,2020,Utility,455
MO,2019,Utility,11
IL,2019,Utility,14
MT,2020,Land,2
NC,2019,Utility,16
OR,2019,Utility,429
NM,2019,Utility,3
ME,2020,Utility,12
TX,2020,Utility,101
MT,2019,Utility,8
WY,2020,Land,63
WA,2019,Land,1
SC,2020,Utility,15
CA,2019,Land,20
MA,2019,Utility,46
IL,2019,Land,2
TX,2019,Utility,15
ID,2019,Utility,44
AZ,2020,Utility,43
FL,2020,Utility,24
NY,2019,Utility,2
WY,2019,Land,9
SC,2019,Utility,13
WV,2020,Land,54
CA,2020,Land,107
ND,2020,Land,55
IA,2019,Utility,8
MN,2020,Land,3
NH,2019,Utility,3
KS,2019,Land,25
OR,2020,Utility,29
NV,2020,Land,5
NC,2020,Utility,9
ME,2019,Utility,2
NE,2020,Land,8
WY,2020,Utility,6
WA,2019,Utility,191
FL,2019,Land,1
SC,2020,Land,84
CA,2019,Utility,41
MO,2020,Utility,5
ID,2020,Land,14
IL,2020,Utility,8
TX,2020,Land,1
MT,2019,Land,4
AR,2020,Utility,3
CT,2019,Utility,1
KS,2020,Utility,1
MI,2020,Utility,5
WI,2019,Utility,14
